timestamp,packets_sent,bytes_sent,elapsed_time,packet_rate,bandwidth,cpu_usage,memory_usage,network_bytes_sent,network_bytes_recv,network_packets_sent,network_packets_recv,attack_intensity,src_ip,dest_ip
2024-09-22 18:25:47.608852,0,0,50.92455291748047,0.0,0.0,2.1,44.9,140022564,22857286822,339290,16403299,1.4641000000000006,,192.168.1.100
2024-09-22 18:25:48.613145,0,0,51.92884635925293,0.0,0.0,10.4,45.1,140055215,22857307091,339396,16403399,1.6105100000000008,,192.168.1.100
2024-09-22 18:25:49.614792,0,0,52.930492639541626,0.0,0.0,10.5,45.1,140056157,22857307734,339403,16403403,1.6105100000000008,,192.168.1.100
2024-09-22 18:25:50.616336,0,0,53.932037353515625,0.0,0.0,0.5,45.1,140058585,22857310141,339421,16403419,1.6105100000000008,,192.168.1.100
2024-09-22 18:25:51.617947,0,0,54.933647871017456,0.0,0.0,3.0,45.1,140060072,22857311047,339433,16403427,1.6105100000000008,,192.168.1.100
2024-09-22 18:25:52.619592,0,0,55.93529295921326,0.0,0.0,0.5,45.1,140060947,22857311917,339439,16403432,1.6105100000000008,,192.168.1.100
2024-09-22 18:25:53.621192,0,0,56.93689298629761,0.0,0.0,5.1,45.1,140062056,22857313021,339449,16403441,1.6105100000000008,,192.168.1.100
2024-09-22 18:25:54.622821,0,0,57.93852233886719,0.0,0.0,9.5,45.1,140082751,22857318802,339487,16403471,1.6105100000000008,,192.168.1.100
2024-09-22 18:25:55.624473,0,0,58.9401741027832,0.0,0.0,16.8,45.1,140092682,22857330452,339548,16403529,1.6105100000000008,,192.168.1.100
2024-09-22 18:25:56.626021,0,0,59.94172191619873,0.0,0.0,3.0,45.1,140110488,22857350435,339650,16403628,1.6105100000000008,,192.168.1.100
2024-09-22 18:25:57.627732,0,0,60.943432569503784,0.0,0.0,5.5,45.1,140163614,22857419324,339740,16403729,1.6105100000000008,,192.168.1.100
2024-09-22 18:25:58.632049,0,0,61.947749614715576,0.0,0.0,6.4,45.1,140188426,22857445105,339844,16403826,1.771561000000001,,192.168.1.100
